GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UniCinema,Authentication.service,AuthenticationServiceMethods,17,8,0,0,3,2,3,1,3,1
UniCinema,Signup.controller,SignupServlet,138,0,4,0,36,0,7,0,5,0
UniCinema,ReviewManager.controller,ReviewServlet,53,289,10,12,12,57,10,9,1,6
UniCinema,FilmManager.service,FilmManagerServiceMethods,79,28,20,0,13,6,13,1,3,1
UniCinema,ShowManager.controller,ShowManagerServlet,184,303,30,16,41,72,23,11,2,7
UniCinema,FilmInfo.service,FilmServiceMethods,10,8,0,0,2,2,2,1,2,1
UniCinema,FilmManager.controller,FilmManagerServlet,893,154,96,5,201,41,53,7,3,5
UniCinema,PageManager,PageServlet,64,0,2,0,17,0,4,0,3,0
UniCinema,PurchaseManager.service,PurchaseServiceMethods,33,13,0,0,6,3,6,1,6,1
UniCinema,utils,InvalidRequestException,174,0,24,0,22,0,21,0,9,0
UniCinema,utils,Alert,104,27,22,0,2,5,17,2,6,2
UniCinema,utils,Controller,27,132,1,5,5,31,4,13,3,11
UniCinema,utils,FileServlet,703,0,106,0,165,0,63,0,10,0
UniCinema,utils,FileServlet.Range,22,0,0,0,6,0,1,0,1,0
UniCinema,utils,ConPool,48,0,2,0,15,0,3,0,2,0
UniCinema,utils,ErrorHandler,79,0,6,0,15,0,10,0,7,0
UniCinema,utils,Paginator,80,27,12,2,5,8,13,2,6,2
UniCinema,utils.extractor,PurchaseExtractor,20,0,0,0,5,0,2,0,2,0
UniCinema,utils.extractor,AccountExtractor,34,0,0,0,8,0,2,0,2,0
UniCinema,utils.extractor,ReviewExtractor,36,0,0,0,8,0,2,0,2,0
UniCinema,utils.extractor,HouseProductionExtractor,19,0,0,0,5,0,2,0,2,0
UniCinema,utils.extractor,ActorExtractor,24,0,0,0,6,0,2,0,2,0
UniCinema,utils.extractor,ShowExtractor,50,0,0,0,12,0,2,0,2,0
UniCinema,utils.extractor,RoomExtractor,24,0,0,0,6,0,2,0,2,0
UniCinema,utils.extractor,FilmExtractor,50,0,0,0,11,0,2,0,2,0
UniCinema,utils.extractor,TicketExtractor,32,0,0,0,7,0,2,0,2,0
UniCinema,utils.extractor,DirectorExtractor,24,0,0,0,6,0,2,0,2,0
UniCinema,utils.extractor,ProductionExtractor,24,0,0,0,6,0,2,0,2,0
UniCinema,PurchaseManager.controller,PurchaseServlet,70,361,12,20,19,80,12,11,0,6
UniCinema,ShowManager.service,ShowServiceMethods,51,13,0,0,11,3,9,1,9,1
UniCinema,model.dao,ShowDAO,422,3,24,0,117,1,22,1,10,1
UniCinema,model.dao,ReviewDAO,507,3,24,0,138,1,24,1,12,1
UniCinema,model.dao,ProductionDAO,467,3,40,0,116,1,30,1,10,1
UniCinema,model.dao,HouseProductionDAO,450,3,40,0,114,1,30,1,10,1
UniCinema,model.dao,ActorDAO,466,3,40,0,116,1,30,1,10,1
UniCinema,model.dao,AccountDAO,332,3,30,0,90,1,23,1,8,1
UniCinema,model.dao,PurchaseDAO,273,3,18,0,78,1,18,1,9,1
UniCinema,model.dao,DirectorDAO,472,3,40,0,117,1,30,1,10,1
UniCinema,model.dao,RoomDAO,139,3,8,0,44,1,11,1,7,1
UniCinema,model.dao,FilmDAO,691,3,44,0,180,1,32,1,10,1
UniCinema,model.dao,TicketDAO,286,3,24,0,74,1,21,1,9,1
UniCinema,ReviewManager.service,ReviewServiceMethods,116,8,16,0,23,2,17,1,9,1
UniCinema,utils.validator,RequestValidator,282,14,40,2,51,3,38,2,17,2
UniCinema,utils.validator,ReviewValidator,31,3,0,0,5,1,1,1,1,1
UniCinema,utils.validator,AccountValidator,53,3,0,0,10,1,2,1,2,1
UniCinema,utils.validator,FilmValidator,186,3,0,0,28,1,2,1,2,1
UniCinema,model.bean,Actor,217,0,32,0,12,0,31,0,15,0
UniCinema,model.bean,Review,401,24,58,0,21,1,49,1,20,1
UniCinema,model.bean,Account,415,0,62,0,35,0,54,0,23,0
UniCinema,model.bean,Room,97,7,12,0,3,1,15,2,9,2
UniCinema,model.bean,Production,217,0,32,0,12,0,31,0,15,0
UniCinema,model.bean,Film,842,38,128,0,85,11,113,3,42,3
UniCinema,model.bean,Show,368,25,60,2,21,2,48,4,17,4
UniCinema,model.bean,Director,217,0,32,0,12,0,31,0,15,0
UniCinema,model.bean,HouseProduction,168,0,24,0,10,0,25,0,13,0
UniCinema,model.bean,Ticket,272,18,30,0,17,7,34,1,19,1
UniCinema,model.bean,Purchase,223,9,34,0,14,4,31,1,14,1
UniCinema,Signup.service,SignupServiceMethods,13,0,0,0,3,0,2,0,2,0
UniCinema,Authentication.controller,AuthenticationServlet,94,260,19,14,24,69,15,10,0,7
UniCinema,FilmInfo.controller,FilmInfoServlet,32,217,6,13,10,52,6,10,0,6
